משנת דיגום 2012 קבוצת פרמטרים: מתכות;אורגנים תעשייה;חומרי הדברה;דלקים;כלוריד ניטרט,,,,,,,,,
זיהוי,שם,תא דיווח,שימוש,פרמטר,סוג תקן מי שתייה,ערך תקן,תאריך דיגום אחרון,ריכוז אחרון,אחוז מתקן מי השתיה
617202,מק מרזבה 10,752,חברת מקורות,XYLE,תקן ישראלי מותר,500,20/08/2012,0,0
617203,מק מרזבה 9,752,חברת מקורות,AS,תקן ישראלי מותר,10,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,ATRA,תקן ישראלי מותר,2,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,BENZ,תקן ישראלי מותר,5,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,CCL4,תקן ישראלי מותר,4,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,CD,תקן ישראלי מותר,5,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,CDCE,תקן ישראלי מותר,50,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,CHLF,תקן ישראלי מותר,80,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,Cl,תקן ישראלי מותר,400,25/12/2017,315.83,79
617203,מק מרזבה 9,752,חברת מקורות,CR,תקן ישראלי מותר,50,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,DCET,תקן ישראלי מותר,4,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,DCEY,תקן ישראלי מותר,10,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,ETBN,תקן ישראלי מותר,300,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,ETDB,תקן ישראלי מותר,0.05,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,LIND,תקן ישראלי מותר,1,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,MTBE,תקן ישראלי מותר,40,23/11/2015,0,0
617203,מק מרזבה 9,752,חברת מקורות,NI,תקן ישראלי מותר,20,23/11/2015,0,0
